attack_neptune,attack_normal,attack_satan,count,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_same_srv_rate,dst_host_srv_count,flag_S0,flag_SF,last_flag,logged_in,same_srv_rate,serror_rate,service_http
0,1,0,1,1.0,0,0,0,0,0,,0,0,0.0,0
0,1,0,1,1.0,0.5,0.5,1,0,1,S,0,0.5,0.0,1
0,1,0,1,1.0,0.3333333333333333,0.3333333333333333,2,0,0,SA,0,0.3333333333333333,0.0,0
0,1,0,2,0.75,0.5,0.5,2,0,0,A,0,0.5,0.0,1
0,1,0,3,0.6,0.6,0.6,2,0,0,PA,0,0.6,0.0,1
0,1,0,2,0.5,0.5,0.5,3,0,0,PA,0,0.5,0.0,0
0,1,0,1,0.5714285714285714,0.42857142857142855,0.5714285714285714,3,0,0,PA,0,0.5714285714285714,0.0,1
0,1,0,3,0.5,0.375,0.5,3,0,0,PA,0,0.5,0.0,0
0,1,0,4,0.4444444444444444,0.4444444444444444,0.5555555555555556,3,0,0,PA,0,0.5555555555555556,0.0,1
0,1,0,4,0.4,0.4,0.5,3,0,0,A,0,0.5,0.0,0
0,1,0,5,0.36363636363636365,0.45454545454545453,0.45454545454545453,4,0,0,PA,0,0.45454545454545453,0.0,0
0,1,0,2,0.3333333333333333,0.4166666666666667,0.5,4,0,0,PA,0,0.5,0.0,1
0,1,0,6,0.3076923076923077,0.46153846153846156,0.46153846153846156,4,0,0,A,0,0.46153846153846156,0.0,0
0,1,0,7,0.2857142857142857,0.5,0.42857142857142855,4,0,0,A,0,0.42857142857142855,0.0,0
0,1,0,5,0.26666666666666666,0.4666666666666667,0.4666666666666667,4,0,0,A,0,0.4666666666666667,0.0,1
0,1,0,8,0.25,0.5,0.4375,4,0,0,A,0,0.4375,0.0,0
0,1,0,9,0.23529411764705882,0.5294117647058824,0.4117647058823529,4,0,0,PA,0,0.4117647058823529,0.0,0
0,1,0,6,0.2222222222222222,0.5,0.4444444444444444,4,0,0,A,0,0.4444444444444444,0.0,1
0,1,0,7,0.21052631578947367,0.47368421052631576,0.47368421052631576,4,0,0,A,0,0.47368421052631576,0.0,1
0,1,0,8,0.2,0.45,0.5,4,0,0,PA,0,0.5,0.0,1
0,1,0,10,0.19047619047619047,0.47619047619047616,0.47619047619047616,4,0,0,A,0,0.47619047619047616,0.0,0
0,1,0,11,0.18181818181818182,0.5,0.45454545454545453,4,0,0,PA,0,0.45454545454545453,0.0,0
0,1,0,12,0.17391304347826086,0.5217391304347826,0.43478260869565216,4,0,0,FPA,0,0.43478260869565216,0.0,0
0,1,0,9,0.16666666666666666,0.5,0.4583333333333333,4,0,0,A,0,0.4583333333333333,0.0,1
0,1,0,10,0.16,0.48,0.48,4,0,0,PA,0,0.48,0.0,1
0,1,0,11,0.15384615384615385,0.46153846153846156,0.5,4,0,0,FA,0,0.5,0.0,1
0,1,0,13,0.14814814814814814,0.48148148148148145,0.48148148148148145,4,0,0,PA,0,0.48148148148148145,0.0,0
0,1,0,3,0.14285714285714285,0.4642857142857143,0.5,4,0,0,PA,0,0.5,0.0,1
0,1,0,14,0.13793103448275862,0.4827586206896552,0.4827586206896552,4,0,0,A,0,0.4827586206896552,0.0,0
0,1,0,15,0.13333333333333333,0.5,0.4666666666666667,4,0,0,A,0,0.4666666666666667,0.0,0
0,1,0,16,0.12903225806451613,0.5161290322580645,0.45161290322580644,4,0,0,PA,0,0.45161290322580644,0.0,0
0,1,0,4,0.125,0.5,0.46875,4,0,0,PA,0,0.46875,0.0,1
0,1,0,17,0.12121212121212122,0.5151515151515151,0.45454545454545453,4,0,0,A,0,0.45454545454545453,0.0,0
0,1,0,18,0.11764705882352941,0.5294117647058824,0.4411764705882353,4,0,0,PA,0,0.4411764705882353,0.0,0
0,1,0,5,0.11428571428571428,0.5142857142857142,0.45714285714285713,4,0,0,PA,0,0.45714285714285713,0.0,1
0,1,0,19,0.1111111111111111,0.5277777777777778,0.4444444444444444,4,0,0,A,0,0.4444444444444444,0.0,0
0,1,0,20,0.10810810810810811,0.5405405405405406,0.43243243243243246,4,0,0,PA,0,0.43243243243243246,0.0,0
0,1,0,6,0.10526315789473684,0.5263157894736842,0.4473684210526316,4,0,0,PA,0,0.4473684210526316,0.0,1
0,1,0,21,0.10256410256410256,0.5384615384615384,0.4358974358974359,4,0,0,A,0,0.4358974358974359,0.0,0
0,1,0,22,0.1,0.55,0.425,4,0,0,PA,0,0.425,0.0,0
0,1,0,7,0.0975609756097561,0.5365853658536586,0.43902439024390244,4,0,0,PA,0,0.43902439024390244,0.0,1
0,1,0,23,0.09523809523809523,0.5476190476190477,0.42857142857142855,4,0,0,A,0,0.42857142857142855,0.0,0
0,1,0,24,0.09302325581395349,0.5581395348837209,0.4186046511627907,4,0,0,PA,0,0.4186046511627907,0.0,0
0,1,0,8,0.09090909090909091,0.5454545454545454,0.4318181818181818,4,0,0,PA,0,0.4318181818181818,0.0,1
0,1,0,25,0.08888888888888889,0.5555555555555556,0.4222222222222222,4,0,0,A,0,0.4222222222222222,0.0,0
0,1,0,2,0.08695652173913043,0.5434782608695652,0.41304347826086957,4,0,0,,0,0.41304347826086957,0.0,0
0,1,0,26,0.0851063829787234,0.5531914893617021,0.40425531914893614,4,0,0,PA,0,0.40425531914893614,0.0,0
0,1,0,9,0.08333333333333333,0.5416666666666666,0.4166666666666667,4,0,0,PA,0,0.4166666666666667,0.0,1
0,1,0,27,0.08163265306122448,0.5510204081632653,0.40816326530612246,4,0,0,A,0,0.40816326530612246,0.0,0
0,1,0,28,0.08,0.56,0.4,4,0,0,PA,0,0.4,0.0,0
0,1,0,10,0.0784313725490196,0.5490196078431373,0.4117647058823529,4,0,0,PA,0,0.4117647058823529,0.0,1
0,1,0,29,0.07692307692307693,0.5576923076923077,0.40384615384615385,4,0,0,A,0,0.40384615384615385,0.0,0
0,1,0,30,0.07547169811320754,0.5660377358490566,0.39622641509433965,4,0,0,PA,0,0.39622641509433965,0.0,0
0,1,0,11,0.07407407407407407,0.5555555555555556,0.4074074074074074,4,0,0,PA,0,0.4074074074074074,0.0,1
0,1,0,31,0.07272727272727272,0.5636363636363636,0.4,4,0,0,A,0,0.4,0.0,0
0,1,0,32,0.07142857142857142,0.5714285714285714,0.39285714285714285,4,0,0,PA,0,0.39285714285714285,0.0,0
0,1,0,12,0.07017543859649122,0.5614035087719298,0.40350877192982454,4,0,0,PA,0,0.40350877192982454,0.0,1
0,1,0,33,0.06896551724137931,0.5689655172413793,0.39655172413793105,4,0,0,A,0,0.39655172413793105,0.0,0
0,1,0,34,0.06779661016949153,0.576271186440678,0.3898305084745763,4,0,0,PA,0,0.3898305084745763,0.0,0
0,1,0,13,0.06666666666666667,0.5666666666666667,0.4,4,0,0,PA,0,0.4,0.0,1
0,1,0,35,0.06557377049180328,0.5737704918032787,0.39344262295081966,4,0,0,A,0,0.39344262295081966,0.0,0
0,1,0,36,0.06451612903225806,0.5806451612903226,0.3870967741935484,4,0,0,PA,0,0.3870967741935484,0.0,0
0,1,0,14,0.06349206349206349,0.5714285714285714,0.3968253968253968,4,0,0,PA,0,0.3968253968253968,0.0,1
0,1,0,37,0.0625,0.578125,0.390625,4,0,0,A,0,0.390625,0.0,0
0,1,0,38,0.06153846153846154,0.5846153846153846,0.38461538461538464,4,0,0,PA,0,0.38461538461538464,0.0,0
0,1,0,15,0.06060606060606061,0.5757575757575758,0.3939393939393939,4,0,0,PA,0,0.3939393939393939,0.0,1
0,1,0,39,0.05970149253731343,0.582089552238806,0.3880597014925373,4,0,0,A,0,0.3880597014925373,0.0,0
0,1,0,40,0.058823529411764705,0.5882352941176471,0.38235294117647056,4,0,0,PA,0,0.38235294117647056,0.0,0
0,1,0,16,0.057971014492753624,0.5797101449275363,0.391304347826087,4,0,0,PA,0,0.391304347826087,0.0,1
0,1,0,41,0.05714285714285714,0.5857142857142857,0.38571428571428573,4,0,0,A,0,0.38571428571428573,0.0,0
0,1,0,1,0.07042253521126761,0.5774647887323944,0.38028169014084506,4,0,0,,0,0.38028169014084506,0.0,0
0,1,0,42,0.06944444444444445,0.5833333333333334,0.375,4,0,0,PA,0,0.375,0.0,0
0,1,0,17,0.0684931506849315,0.5753424657534246,0.3835616438356164,4,0,0,PA,0,0.3835616438356164,0.0,1
0,1,0,43,0.06756756756756757,0.581081081081081,0.3783783783783784,4,0,0,A,0,0.3783783783783784,0.0,0
0,1,0,44,0.06666666666666667,0.5866666666666667,0.37333333333333335,4,0,0,PA,0,0.37333333333333335,0.0,0
0,1,0,18,0.06578947368421052,0.5789473684210527,0.3815789473684211,4,0,0,PA,0,0.3815789473684211,0.0,1
0,1,0,45,0.06493506493506493,0.5844155844155844,0.37662337662337664,4,0,0,A,0,0.37662337662337664,0.0,0
0,1,0,46,0.0641025641025641,0.5897435897435898,0.3717948717948718,4,0,0,PA,0,0.3717948717948718,0.0,0
0,1,0,19,0.06329113924050633,0.5822784810126582,0.379746835443038,4,0,0,PA,0,0.379746835443038,0.0,1
0,1,0,47,0.0625,0.5875,0.375,4,0,0,A,0,0.375,0.0,0
0,1,0,1,0.07407407407407407,0.5802469135802469,0.37037037037037035,4,0,0,,0,0.37037037037037035,0.0,0
0,1,0,48,0.07317073170731707,0.5853658536585366,0.36585365853658536,4,0,0,PA,0,0.36585365853658536,0.0,0
0,1,0,20,0.07228915662650602,0.5783132530120482,0.37349397590361444,4,0,0,PA,0,0.37349397590361444,0.0,1
0,1,0,49,0.07142857142857142,0.5833333333333334,0.36904761904761907,4,0,0,A,0,0.36904761904761907,0.0,0
0,1,0,50,0.07058823529411765,0.5882352941176471,0.36470588235294116,4,0,0,PA,0,0.36470588235294116,0.0,0
0,1,0,21,0.06976744186046512,0.5813953488372093,0.37209302325581395,4,0,0,PA,0,0.37209302325581395,0.0,1
0,1,0,51,0.06896551724137931,0.5862068965517241,0.367816091954023,4,0,0,A,0,0.367816091954023,0.0,0
0,1,0,52,0.06818181818181818,0.5909090909090909,0.36363636363636365,4,0,0,PA,0,0.36363636363636365,0.0,0
0,1,0,22,0.06741573033707865,0.5842696629213483,0.3707865168539326,4,0,0,PA,0,0.3707865168539326,0.0,1
0,1,0,53,0.06666666666666667,0.5888888888888889,0.36666666666666664,4,0,0,A,0,0.36666666666666664,0.0,0
0,1,0,54,0.06593406593406594,0.5934065934065934,0.3626373626373626,4,0,0,PA,0,0.3626373626373626,0.0,0
0,1,0,23,0.06521739130434782,0.5869565217391305,0.3695652173913043,4,0,0,PA,0,0.3695652173913043,0.0,1
0,1,0,55,0.06451612903225806,0.5913978494623656,0.3655913978494624,4,0,0,A,0,0.3655913978494624,0.0,0
0,1,0,56,0.06382978723404255,0.5957446808510638,0.3617021276595745,4,0,0,PA,0,0.3617021276595745,0.0,0
0,1,0,24,0.06315789473684211,0.5894736842105263,0.3684210526315789,4,0,0,PA,0,0.3684210526315789,0.0,1
0,1,0,57,0.0625,0.59375,0.3645833333333333,4,0,0,A,0,0.3645833333333333,0.0,0
0,1,0,1,0.07216494845360824,0.5876288659793815,0.3711340206185567,4,0,0,PA,0,0.3711340206185567,0.0,1
0,1,0,2,0.07142857142857142,0.5816326530612245,0.37755102040816324,4,0,0,PA,0,0.37755102040816324,0.0,1
0,1,0,3,0.0707070707070707,0.5757575757575758,0.3838383838383838,4,0,0,A,0,0.3838383838383838,0.0,1
0,1,0,4,0.07,0.57,0.39,4,0,0,A,0,0.39,0.0,1
0,1,0,5,0.06930693069306931,0.5643564356435643,0.39603960396039606,4,0,0,A,0,0.39603960396039606,0.0,1
0,1,0,6,0.06862745098039216,0.5588235294117647,0.4019607843137255,4,0,0,A,0,0.4019607843137255,0.0,1
0,1,0,7,0.06796116504854369,0.5533980582524272,0.4077669902912621,4,0,0,A,0,0.4077669902912621,0.0,1
0,1,0,8,0.0673076923076923,0.5480769230769231,0.41346153846153844,4,0,0,A,0,0.41346153846153844,0.0,1
0,1,0,9,0.06666666666666667,0.5428571428571428,0.41904761904761906,4,0,0,A,0,0.41904761904761906,0.0,1
0,1,0,10,0.0660377358490566,0.5377358490566038,0.42452830188679247,4,0,0,A,0,0.42452830188679247,0.0,1
0,1,0,11,0.06542056074766354,0.5327102803738317,0.42990654205607476,4,0,0,A,0,0.42990654205607476,0.0,1
0,1,0,12,0.06481481481481481,0.5277777777777778,0.4351851851851852,4,0,0,A,0,0.4351851851851852,0.0,1
0,1,0,13,0.06422018348623854,0.5229357798165137,0.44036697247706424,4,0,0,A,0,0.44036697247706424,0.0,1
0,1,0,14,0.06363636363636363,0.5181818181818182,0.44545454545454544,4,0,0,PA,0,0.44545454545454544,0.0,1
0,1,0,15,0.06306306306306306,0.5135135135135135,0.45045045045045046,4,0,0,A,0,0.45045045045045046,0.0,1
0,1,0,16,0.0625,0.5089285714285714,0.45535714285714285,4,0,0,A,0,0.45535714285714285,0.0,1
0,1,0,17,0.061946902654867256,0.504424778761062,0.46017699115044247,4,0,0,PA,0,0.46017699115044247,0.0,1
0,1,0,3,0.06140350877192982,0.5,0.45614035087719296,4,0,0,,0,0.45614035087719296,0.0,0
0,1,0,58,0.06086956521739131,0.5043478260869565,0.45217391304347826,5,0,0,A,0,0.45217391304347826,0.0,0
0,1,0,59,0.0603448275862069,0.5086206896551724,0.4482758620689655,5,0,0,A,0,0.4482758620689655,0.0,0
0,1,0,60,0.05982905982905983,0.5128205128205128,0.4444444444444444,5,0,0,A,0,0.4444444444444444,0.0,0
0,1,0,61,0.059322033898305086,0.5169491525423728,0.4406779661016949,5,0,0,A,0,0.4406779661016949,0.0,0
0,1,0,62,0.058823529411764705,0.5210084033613446,0.4369747899159664,5,0,0,A,0,0.4369747899159664,0.0,0
0,1,0,63,0.058333333333333334,0.525,0.43333333333333335,5,0,0,A,0,0.43333333333333335,0.0,0
0,1,0,64,0.05785123966942149,0.5289256198347108,0.4297520661157025,5,0,0,A,0,0.4297520661157025,0.0,0
0,1,0,65,0.05737704918032787,0.5327868852459017,0.4262295081967213,5,0,0,A,0,0.4262295081967213,0.0,0
0,1,0,66,0.056910569105691054,0.5365853658536586,0.42276422764227645,5,0,0,A,0,0.42276422764227645,0.0,0
0,1,0,67,0.056451612903225805,0.5403225806451613,0.41935483870967744,5,0,0,A,0,0.41935483870967744,0.0,0
